             (0,0)              (0,0)           (-2.7,0)           (0,0.27)              (0,0)              (0,0)           (-2.7,0)  (-0.233827,0.135)              (0,0)              (0,0)           (-2.7,0)   (0.233827,0.135)              (0,0)              (0,0)              (0,0)              (0,0)
             (0,0)              (0,0)           (0,0.27)           (-2.7,0)              (0,0)              (0,0)   (0.233827,0.135)           (-2.7,0)              (0,0)              (0,0)  (-0.233827,0.135)           (-2.7,0)              (0,0)              (0,0)              (0,0)              (0,0)
          (-2.7,0)          (0,-0.27)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)
         (0,-0.27)           (-2.7,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)
             (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (-2.7,0)           (0,0.27)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (-2.7,0)   (0.233827,0.135)
             (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (0,0.27)           (-2.7,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)  (-0.233827,0.135)           (-2.7,0)
          (-2.7,0)  (0.233827,-0.135)              (0,0)              (0,0)           (-2.7,0)          (0,-0.27)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)
(-0.233827,-0.135)           (-2.7,0)              (0,0)              (0,0)          (0,-0.27)           (-2.7,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)
             (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (-2.7,0)           (0,0.27)              (0,0)              (0,0)           (-2.7,0)  (-0.233827,0.135)
             (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (0,0.27)           (-2.7,0)              (0,0)              (0,0)   (0.233827,0.135)           (-2.7,0)
          (-2.7,0) (-0.233827,-0.135)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (-2.7,0)          (0,-0.27)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)
 (0.233827,-0.135)           (-2.7,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)          (0,-0.27)           (-2.7,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)
             (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (-2.7,0)           (0,0.27)
             (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)              (0,0)           (0,0.27)           (-2.7,0)
             (0,0)              (0,0)              (0,0)              (0,0)           (-2.7,0) (-0.233827,-0.135)              (0,0)              (0,0)           (-2.7,0)  (0.233827,-0.135)              (0,0)              (0,0)           (-2.7,0)          (0,-0.27)              (0,0)              (0,0)
             (0,0)              (0,0)              (0,0)              (0,0)  (0.233827,-0.135)           (-2.7,0)              (0,0)              (0,0) (-0.233827,-0.135)           (-2.7,0)              (0,0)              (0,0)          (0,-0.27)           (-2.7,0)              (0,0)              (0,0)
