               (0,0)   (-4.78146,2.50951)                (0,0)                (0,0)                (0,0)   (-4.78146,2.50951)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
 (-4.78146,-2.50951)                (0,0) (-0.650898,-5.36063)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)  (-0.650898,5.36063)                (0,0)    (4.04196,3.58086)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)   (4.04196,-3.58086)                (0,0)     (5.24309,1.2923)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)    (5.24309,-1.2923)                (0,0)   (1.91487,-5.04909)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
   (1.91487,5.04909)                (0,0)                (0,0)                (0,0)    (1.91487,5.04909)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-5.4,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (-4.78146,2.50951)                (0,0)                (0,0)                (0,0)   (-4.78146,2.50951)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
            (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-4.78146,-2.50951)                (0,0) (-0.650898,-5.36063)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)  (-0.650898,5.36063)                (0,0)    (4.04196,3.58086)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
               (0,0)                (0,0)             (-5.4,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)   (4.04196,-3.58086)                (0,0)     (5.24309,1.2923)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)                (0,0)
