0 -4.4617e-07 -0.0262353     -0.0527746 -0.000952243      -0.053995 -0.0338225
1 -4.40173e-07 -0.0262496     -0.0966311 0.00108997      -0.0978171 -0.0317541
2 -4.76929e-08 -0.0262722     -0.138984 0.00279765      -0.140114 -0.0300237
3 5.49434e-07 -0.0263029     -0.180649 0.00306799      -0.181708 -0.0297491
4 1.03338e-06 -0.0263416     -0.223021 0.00168617      -0.224015 -0.031149
5 1.14902e-06 -0.0263885     -0.267254 -0.000515484      -0.268203 -0.0333811
6 8.69171e-07 -0.0264442     -0.313565 -0.00214745      -0.314491 -0.0350381
7 4.21918e-07 -0.0265088     -0.361096 -0.00211857      -0.362013 -0.0350133
8 1.57768e-07 -0.0265826     -0.408453 -0.000340587      -0.409354 -0.033215
9 3.32561e-07 -0.0266654     -0.4546 0.00216208      -0.455462 -0.0306789
10 9.37992e-07 -0.0267569     -0.499581 0.00383456      -0.50038 -0.0289795
11 1.68881e-06 -0.026857     -0.54461 0.00354154      -0.545332 -0.029269
12 2.1846e-06 -0.0269659     -0.591433 0.0013164      -0.592085 -0.0315172
13 2.15645e-06 -0.027084     -0.64131 -0.00157011      -0.641918 -0.0344403
14 1.65004e-06 -0.027212     -0.69423 -0.00331267      -0.694823 -0.0362103
15 1.02513e-06 -0.0273503     -0.748863 -0.00266658      -0.749454 -0.0355638
16 7.56434e-07 -0.0274992     -0.803329 0.000214546      -0.803908 -0.0326508
17 1.1433e-06 -0.0276583     -0.856395 0.00374216      -0.856932 -0.0290755
18 2.10176e-06 -0.0278276     -0.908378 0.00575209      -0.908839 -0.0270287
19 3.17716e-06 -0.0280068     -0.961166 0.00480954      -0.961533 -0.0279677
20 3.7919e-06 -0.0281964     -1.01727 0.00119202      -1.01755 -0.0316192
21 3.5978e-06 -0.0283972     -1.07837 -0.00309416      -1.07861 -0.0359583
22 2.72406e-06 -0.0286102     -1.14426 -0.0053768      -1.1445 -0.0382805
23 1.75404e-06 -0.0288362     -1.21281 -0.00391878      -1.21306 -0.0368208
24 1.41372e-06 -0.0290753     -1.28116 0.000876225      -1.28141 -0.0319775
25 2.13205e-06 -0.0293274     -1.34753 0.00644877      -1.34773 -0.0263326
